target_class,viewpoint,pair_stage_observation_count,third_stage_observation_count,pair_stage_scene_support,third_stage_scene_support,pair_stage_mean_marginal_target_ap50_95,third_stage_mean_marginal_target_ap50_95,combined_marginal_target_ap50_95,pair_stage_mean_marginal_target_strict_quality_iou50,third_stage_mean_marginal_target_strict_quality_iou50,combined_marginal_target_strict_quality_iou50
barrel,ellow-radfar-az225,27,156,146,267,0.05231924901534156,0.013711028617749567,0.03301513881654557,0.04362095256584383,0.011849361871157416,0.027735157218500624
barrel,elhigh-radnear-az000,16,66,96,117,0.11128589170004595,0.03300810303676734,0.07214699736840664,0.03673071982812416,0.01772768005335065,0.027229199940737407
barrel,elhigh-radmid-az270,29,141,139,219,0.10468929683543728,0.018646495750488993,0.06166789629296313,0.04771545146038263,0.006260381552541895,0.02698791650646226
barrel,elmid-radfar-az270,8,28,40,47,0.13000190006877338,0.012708494351023725,0.07135519720989855,0.047664091904324954,0.005704739937331227,0.02668441592082809
barrel,elhigh-radfar-az225,26,165,144,298,0.0911565285919411,0.05204623928979081,0.07160138394086596,0.03158005862240277,0.021685520063555695,0.026632789342979232
barrel,elmid-radmid-az045,23,157,126,239,0.09315751508476469,0.014189260306036837,0.05367338769540077,0.047455638484858696,0.005540272254165296,0.026497955369511998
barrel,elhigh-radmid-az225,20,100,130,196,0.10520928725861559,0.012768510359162755,0.05898889880888917,0.04887834950500568,0.0036093217690236247,0.02624383563701465
barrel,elhigh-radfar-az000,11,55,67,113,0.10646839080062617,0.02250096420671401,0.0644846775036701,0.048610777474135086,0.003194286115809913,0.0259025317949725
barrel,ellow-radmid-az270,23,141,120,239,0.06489385002583074,0.030282862629407718,0.04758835632761923,0.034149537441707914,0.017655066202994056,0.025902301822350985
barrel,elmid-radfar-az315,9,36,46,61,0.08210856225695717,0.02104938276135075,0.05157897250915396,0.04532082202252279,0.005980384678196726,0.02565060335035976
barrel,elhigh-radmid-az135,42,297,221,497,0.08347230884057791,0.013940451106239869,0.04870637997340889,0.0404845029045006,0.008356892307635705,0.024420697606068152
barrel,elmid-radmid-az180,30,205,172,381,0.09048114774701112,0.014597829724795773,0.052539488735903445,0.03982274362203698,0.008096199580756499,0.023959471601396738
barrel,ellow-radmid-az315,10,45,58,78,0.08537917715073887,0.01922710928038806,0.052303143215563466,0.04379976970557471,0.003709066933238773,0.023754418319406743
barrel,ellow-radmid-az135,23,101,121,169,0.07014498549993356,0.0195563254668037,0.044850655483368626,0.03234127917775411,0.014824405053675802,0.023582842115714958
barrel,elhigh-radfar-az270,15,57,81,91,0.1247721844145547,0.04266367224386238,0.08371792832920855,0.03801889830813052,0.00859948926763004,0.02330919378788028
barrel,elhigh-radmid-az090,28,170,165,296,0.06339337611107107,0.008031308161288907,0.03571234213617999,0.04198210994207231,0.004569831939965899,0.023275970941019106
barrel,ellow-radfar-az180,26,135,124,214,0.0681532467967053,0.00284950270974914,0.03550137475322722,0.04114867261257888,0.004382273768300744,0.02276547319043981
barrel,elhigh-radnear-az225,32,208,208,399,0.08036883887957838,0.07031907999337049,0.07534395943647443,0.027935654915987616,0.013628367965778923,0.02078201144088327
barrel,elmid-radmid-az315,39,229,198,366,0.08702919528765861,0.022577139540544598,0.0548031674141016,0.030957696416822993,0.009985251396182985,0.020471473906502988
barrel,ellow-radfar-az000,48,315,294,562,0.05526420356084524,0.014482813542096053,0.034873508551470644,0.029648834468775146,0.00943932822079447,0.01954408134478481
barrel,elhigh-radnear-az045,11,55,40,73,0.07972353816642376,0.04173892944320678,0.060731233804815266,0.02431007808924586,0.013879694815874198,0.01909488645256003
barrel,elhigh-radnear-az135,31,194,180,327,0.07082207432694744,0.014416213388889081,0.04261914385791826,0.034946249773229486,0.0015088536415499558,0.01822755170738972
barrel,elhigh-radmid-az000,33,194,228,358,0.08643595011885037,0.02177831186554188,0.05410713099219613,0.026325659644693,0.007983561180736197,0.0171546104127146
barrel,elhigh-radnear-az270,23,98,114,150,0.09093947956521899,0.031127965832958775,0.06103372269908888,0.02616564269125289,0.004749565151097574,0.015457603921175234
barrel,ellow-radmid-az180,22,132,91,197,0.07160726243292193,0.006782758170474891,0.039195010301698405,0.027406884370164853,0.0033532512574123118,0.015380067813788582
barrel,elmid-radfar-az135,35,220,223,468,0.047248141534227815,0.004571327039221835,0.025909734286724825,0.025684734629462597,0.004873819700387137,0.015279277164924866
barrel,elmid-radnear-az270,16,64,110,132,0.06147376045812253,0.01199789693761247,0.0367358286978675,0.024202336889668774,0.004521201671445124,0.014361769280556949
barrel,ellow-radfar-az315,20,120,100,197,0.0477253580650759,0.00642921210218359,0.027077285083629745,0.02022814050072509,0.006018176079711583,0.013123158290218335
barrel,elhigh-radmid-az315,7,21,34,38,0.0616230539254529,0.016158045651357426,0.038890549788405164,0.0213833088155041,0.003916812076958735,0.012650060446231418
barrel,elhigh-radmid-az045,33,191,183,339,0.057059903916030975,0.008672552788607213,0.032866228352319095,0.019533627779640714,0.00568891086797282,0.012611269323806767
barrel,ellow-radfar-az135,49,305,297,567,0.05909611863096561,0.0064433358495893335,0.03276972724027747,0.02311334096666726,0.001851291508149305,0.012482316237408283
barrel,elmid-radfar-az180,19,91,88,132,0.04247075022396378,0.0012410686358472244,0.021855909429905503,0.021759461709282012,0.0004611608362589981,0.011110311272770505
barrel,ellow-radfar-az270,37,200,185,309,0.03322125077643529,0.0036065027178200483,0.01841387674712767,0.015196302266865159,0.0007453732311946215,0.00797083774902989
