drone_count,elevation_pattern,radius_pattern,combination_count,mean_scene_count,mean_best_strict_quality,mean_complementarity_strict_quality,mean_target_found_or_rate,mean_false_alarm_rate_when_any_selected_view_absent
3,mid + mid + high,mid + mid + far,29,3.1379310344827585,0.9203436905892856,0.005337295565514919,1.0,0.0
3,mid + mid + mid,near + near + far,6,3.6666666666666665,0.9191433967602688,0.009244535876773485,1.0,0.0
3,mid + mid + high,near + mid + mid,27,3.3333333333333335,0.9187940008425295,0.007747258512489976,1.0,0.0
3,mid + high + high,near + mid + mid,28,3.107142857142857,0.9186841558742392,0.004837717601748471,1.0,0.0
3,mid + high + high,mid + mid + far,29,3.0689655172413794,0.918361643550984,0.005608497510096821,1.0,0.0
3,low + mid + mid,mid + mid + far,30,3.2333333333333334,0.9167185656433936,0.007874783256986883,1.0,0.0
3,high + high + high,near + mid + far,14,3.0714285714285716,0.9154476503840637,0.00435459722687233,1.0,0.0
3,mid + high + high,mid + far + far,21,3.0476190476190474,0.9148149860944127,0.007147794797702091,1.0,0.0
3,mid + mid + high,near + far + far,17,3.1176470588235294,0.9147392570006567,0.005456918806981168,1.0,0.0
3,mid + high + high,near + far + far,13,3.1538461538461537,0.9144034318469326,0.011189067151138397,1.0,0.0
3,low + mid + high,near + far + far,56,3.125,0.9137115847978373,0.006084582378839566,1.0,0.017857142857142856
3,low + low + low,mid + mid + far,2,3.0,0.9135977635302671,0.0005561365574754396,1.0,0.0
3,mid + high + high,far + far + far,12,3.25,0.9110569931848866,0.007759004630999516,1.0,0.0
3,low + mid + high,mid + mid + far,48,3.1458333333333335,0.9094619366878804,0.005205966141438638,1.0,0.0
3,low + mid + mid,mid + mid + mid,8,3.375,0.9087458450257134,0.006506287556319712,1.0,0.0
3,low + low + mid,mid + mid + far,21,3.2857142857142856,0.9075495587253192,0.014532694991912395,1.0,0.0
3,mid + mid + high,far + far + far,5,3.2,0.906837849595451,0.005918760777756549,1.0,0.0
3,low + high + high,mid + far + far,11,3.090909090909091,0.9058802351048943,0.008647041534290715,1.0,0.0
3,mid + high + high,near + mid + far,43,3.2093023255813953,0.9056088804639575,0.005021054046874812,1.0,0.0
3,mid + mid + mid,mid + far + far,11,3.1818181818181817,0.9021710643660831,0.006290044637325753,1.0,0.0
3,high + high + high,near + near + far,7,3.0,0.9017394725002346,0.008781396089491689,1.0,0.0
3,low + high + high,mid + mid + far,24,3.0833333333333335,0.9014488018104849,0.009948921998517315,1.0,0.0
3,low + mid + high,mid + mid + mid,20,3.25,0.9004554114733191,0.0070339065675986134,1.0,0.0
3,mid + mid + mid,near + near + near,1,3.0,0.8979741267622868,0.00912347744056774,1.0,0.0
3,low + mid + mid,near + far + far,19,3.263157894736842,0.8968941418520056,0.010393519948920186,1.0,0.05263157894736842
3,mid + mid + mid,mid + mid + far,14,3.0,0.8963038447430576,0.0075240851870929425,1.0,0.0
3,low + mid + mid,mid + far + far,24,3.4583333333333335,0.8948288076836827,0.009982987647684244,1.0,0.0
3,low + low + mid,near + far + far,17,3.235294117647059,0.8944994154017001,0.00778061370210067,1.0,0.0
3,low + low + high,mid + far + far,27,3.185185185185185,0.892568230305168,0.016555389929257407,1.0,0.0
3,low + mid + high,far + far + far,11,3.090909090909091,0.8925098949743141,0.010425244319664588,1.0,0.0
3,low + low + high,far + far + far,5,3.0,0.8924988270796861,0.007524799864607945,1.0,0.0
3,low + mid + high,mid + far + far,47,3.2127659574468086,0.8922631252892312,0.01201368825876897,1.0,0.0
3,mid + high + high,mid + mid + mid,5,3.4,0.8894542145985396,0.005992743864905536,1.0,0.0
3,high + high + high,near + near + mid,7,3.142857142857143,0.8894262148497659,0.008010064972597613,1.0,0.0
3,low + low + high,mid + mid + far,18,3.1666666666666665,0.8888284599142544,0.012676001286067051,1.0,0.0
3,low + low + low,mid + far + far,5,3.0,0.8872022886929869,0.009062272579659237,1.0,0.0
3,mid + mid + mid,near + far + far,4,3.0,0.8863342345056694,0.0038379988754950745,1.0,0.0
3,low + mid + mid,far + far + far,6,3.5,0.8845008388002807,0.011827050387086665,1.0,0.0
3,low + low + mid,mid + far + far,22,3.090909090909091,0.8744018007223673,0.013580164797566836,1.0,0.0
