target_class,added_image_number,base_coalition_size,scene_support,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou,fraction_of_total_target_ap50_95_gain_captured,fraction_of_total_target_strict_quality_gain_captured,fraction_of_total_noisy_or_best_iou_gain_captured
tower,6,5,13,0.999853515625224,0.9691542185464331,0.990688238263696,0.0005408501997042814,0.0008005794307756267,0.0005000172501482276,0.9985924440347432,0.9476869941239721,0.9819177102790978
tower,7,6,13,0.9999076021635959,0.9697036823656409,0.9910974165160675,5.4086538371988216e-05,0.000549463819207881,0.0004091782523714783,0.9991121570064637,0.9755332812669332,0.9919038233981947
tower,8,7,13,1.0,0.9701864604340251,0.9914291551368211,9.239783640413617e-05,0.0004827780683842416,0.0003317386207538041,1.0,1.0,1.0
tree,1,0,30,0.8531411776690017,0.9378034928981401,0.9378034928981401,0.8531411776690017,0.9378034928981401,0.9378034928981401,0.0,0.0,0.0
tree,2,1,30,0.9152717209568105,0.9521265254269685,0.9801343790517836,0.06213054328780911,0.014323032528828451,0.04233088615364355,0.5692702272424469,0.5221463548654539,0.8224125063074214
tree,3,2,30,0.936827832940284,0.956835541654036,0.9849123835650267,0.021556111983473566,0.004709016227067477,0.004778004513243244,0.7667777994915929,0.6938136085016264,0.9152404866294509
tree,4,3,30,0.9462448548736335,0.9596939807180779,0.9867459546932109,0.009417021933349446,0.002858439064042093,0.0018335711281840512,0.8530611302378227,0.7980180452988247,0.9508634552001921
tree,5,4,30,0.9526348600674339,0.9615247552283737,0.9878231330036,0.006390005193800467,0.0018307745102955372,0.0010771783103891161,0.911609462768965,0.8647589561504546,0.9717910802626988
tree,6,5,30,0.9569508467086414,0.9630621944032481,0.9885841316033079,0.004315986641207467,0.0015374391748744854,0.0007609985997079761,0.951154629541998,0.9208063231708328,0.9865759057778233
tree,7,6,30,0.9600959664930373,0.9643516818189452,0.9891014362957304,0.003145119784395863,0.0012894874156970664,0.0005173046924223819,0.9799717452410183,0.9678146052784029,0.9966261997186499
tree,8,7,29,0.9622818639626975,0.9652345615925086,0.9892750911885241,0.0027921941924927193,0.0010133335080578629,0.00034974871155450676,1.0,1.0,1.0
whitevan,1,0,19,0.8945250546729633,0.9132473506613147,0.9132473506613147,0.8945250546729633,0.9132473506613147,0.9132473506613147,0.0,0.0,0.0
whitevan,2,1,19,0.9796746433672743,0.9484934634779048,0.975860949935722,0.08514958869431077,0.03524611281659005,0.0626135992744071,0.8072968270359875,0.7039288479340716,0.8242385399298843
whitevan,3,2,19,0.9930287431854726,0.9550547484847655,0.9832290311307306,0.013354099818198356,0.006561285006860902,0.007368081195008837,0.9339060400276841,0.8349696188661949,0.9212311510660559
whitevan,4,3,19,0.9975096655653082,0.958559158086458,0.9856680189990465,0.004480922379835613,0.0035044096016923786,0.0024389878683157705,0.9763893270864444,0.9049590394427353,0.9533377193321156
whitevan,5,4,18,0.9989486256827368,0.9597648379944547,0.9867764138960555,0.001577312030467159,0.00231322805764915,0.0014345462248267116,0.9900319994098759,0.9290386556270734,0.967928507949339
whitevan,6,5,17,0.9996170343319868,0.9606678600359695,0.9874621142752951,0.0007302541973242005,0.0017271100019717698,0.0010775005193987418,0.9963691313911016,0.9470736448654725,0.976954992386639
whitevan,7,6,15,0.9998582176012161,0.9622855274663652,0.9886853817826613,0.00029224535829767045,0.0012753452702773005,0.0008287187334535189,0.9986557717726772,0.979381399667952,0.9930579514226854
whitevan,8,7,14,1.0,0.9633179123665669,0.9892127371861109,0.00015190971298291106,0.0009357928388969923,0.0006547679638048151,1.0,1.0,1.0
