scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_tree20,tree,13,3,2,256,0.9053192706803643,0.953667630044796,0.9814504592548987,0.0250897992540153,0.004703692091352615,0.004309313920729878
S0-SM_tree20,tree,13,4,3,256,0.9177916735392676,0.9564997431787131,0.9826123508451031,0.012472402858903197,0.0028321131339170413,0.0011618915902043975
S0-SM_tree20,tree,13,5,4,256,0.9279276115233193,0.9579131035443825,0.9834063619679776,0.010135937984051652,0.0014133603656693583,0.0007940111228744592
S0-SM_tree20,tree,13,6,5,256,0.9354750272480465,0.959605620969721,0.983892366977342,0.007547415724727226,0.0016925174253385744,0.0004860050093643373
S0-SM_tree20,tree,13,7,6,256,0.9429134971023521,0.9609806320183043,0.9841421541764033,0.007438469854305411,0.0013750110485832995,0.0002497871990613464
S0-SM_tree20,tree,13,8,7,256,0.94744684719516,0.9618681916436314,0.9842834884751221,0.004533350092808029,0.0008875596253269807,0.0001413342987188395
S0-SM_tree21,tree,16,1,0,256,0.755672946027967,0.9417072033542364,0.9417072033542364,0.755672946027967,0.9417072033542364,0.9417072033542364
S0-SM_tree21,tree,16,2,1,256,0.8358870114820081,0.9545103357750082,0.9828912280886823,0.08021406545404106,0.012803132420771787,0.04118402473444607
S0-SM_tree21,tree,16,3,2,256,0.8880867621673665,0.9600149429521069,0.9876285413512905,0.05219975068535856,0.005504607177098594,0.004737313262608026
S0-SM_tree21,tree,16,4,3,256,0.9123773816459202,0.9632100536593154,0.9889483284528153,0.024290619478553672,0.0031951107072085982,0.0013197871015249015
S0-SM_tree21,tree,16,5,4,256,0.9328555825812148,0.9656712735916104,0.9899703465904572,0.02047820093529462,0.002461219932295089,0.0010220181376418584
S0-SM_tree21,tree,16,6,5,256,0.9460483890822436,0.9671917357481177,0.9904197629739382,0.013192806501028819,0.0015204621565072102,0.00044941638348092216
S0-SM_tree21,tree,16,7,6,256,0.9600233291038549,0.9687071589191385,0.9907308439381257,0.013974940021611218,0.0015154231710207966,0.00031108096418755405
S0-SM_tree21,tree,16,8,7,256,0.9704395378989675,0.9704522150661691,0.9909536025942265,0.010416208795112616,0.0017450561470305909,0.00022275865610077916
S0-SM_tree22,tree,13,1,0,256,0.756900160404906,0.9271910306063229,0.9271910306063229,0.756900160404906,0.9271910306063229,0.9271910306063229
S0-SM_tree22,tree,13,2,1,256,0.829508465580552,0.9521276347089697,0.9845503444891501,0.07260830517564601,0.024936604102646684,0.05735931388282724
S0-SM_tree22,tree,13,3,2,256,0.85666746597281,0.9552018901034378,0.9884047815682573,0.027159000392257996,0.0030742553944681783,0.0038544370791071263
S0-SM_tree22,tree,13,4,3,256,0.8657345654808194,0.9579256628020743,0.9902922116026177,0.009067099508009433,0.0027237726986364535,0.0018874300343605203
S0-SM_tree22,tree,13,5,4,256,0.8768044320114203,0.9603556500354452,0.9912897229886701,0.011069866530600912,0.00242998723337097,0.0009975113860523459
S0-SM_tree22,tree,13,6,5,256,0.884981319783051,0.962928688492716,0.992006574467258,0.008176887771630687,0.0025730384572708043,0.000716851478587798
S0-SM_tree22,tree,13,7,6,256,0.8902379190948195,0.965228255643627,0.9925105247636645,0.005256599311768511,0.0022995671509109528,0.0005039502964065364
S0-SM_tree22,tree,13,8,7,256,0.8963901668639889,0.9665697007523344,0.9927797163820574,0.006152247769169386,0.0013414451087073453,0.000269191618392871
S0-SM_tree23,tree,13,1,0,256,0.9060636975442616,0.9517764037294267,0.9517764037294267,0.9060636975442616,0.9517764037294267,0.9517764037294267
S0-SM_tree23,tree,13,2,1,256,0.9783602471284447,0.9607591410546483,0.9843716615751932,0.07229654958418298,0.008982737325221493,0.03259525784576637
S0-SM_tree23,tree,13,3,2,256,0.992646329469889,0.9650001669045631,0.9878423564757924,0.014286082341444385,0.0042410258499149395,0.0034706949005992487
S0-SM_tree23,tree,13,4,3,256,0.9969661458694948,0.9675734856660523,0.9897778441373831,0.004319816399605882,0.002573318761489113,0.0019354876615906669
S0-SM_tree23,tree,13,5,4,256,0.9988454861346528,0.969460263934081,0.9909690255024034,0.0018793402651580329,0.0018867782680287298,0.0011911813650202934
S0-SM_tree23,tree,13,6,5,256,1.0,0.9704607125438565,0.9914535255098692,0.0011545138653471228,0.0010004486097754117,0.00048450000746583883
S0-SM_tree23,tree,13,7,6,256,1.0,0.9718105926376062,0.9922292020550664,0.0,0.001349880093749603,0.0007756765451971265
S0-SM_tree23,tree,13,8,7,256,1.0,0.9729730440103049,0.9926949879152318,0.0,0.0011624513726988112,0.00046578586016540703
S0-SM_tree24,tree,9,1,0,256,0.9221442328593185,0.9466885951182753,0.9466885951182753,0.9221442328593185,0.9466885951182753,0.9466885951182753
