scene_key,target_class,viewpoint_1,viewpoint_2,ordered_label,best_constituent_single,best_box_score,noisy_or_best_iou_score,support_weighted_or_score,geometry_prior_selector_score,geometry_calibrated_selector_score,viewpoint_cell_prior_selector_score,geometry_weighted_or_best_iou_score,geometry_weighted_or_mean_iou_score,viewpoint_cell_weighted_or_best_iou_score,hybrid_geometry_cell_weighted_or_best_iou_score
S0-SM_container_13,container,elhigh-radfar-az270,ellow-radnear-az315,elhigh-radfar-az270 + ellow-radnear-az315,0.9602085164954416,0.9602085164954416,0.9859397250408732,0.9754033377112976,0.9344641377304228,0.9344641377304228,0.9602085164954416,0.984551169878499,0.9740296215442977,0.9861271006946194,0.9854261520300526
S0-SM_container_13,container,elhigh-radfar-az270,elmid-radfar-az000,elhigh-radfar-az270 + elmid-radfar-az000,0.9344641377304228,0.9344641377304228,0.9644803746147317,0.9593898570284614,0.9179442970548736,0.9344641377304228,0.9344641377304228,0.9637678079537826,0.9586810512870856,0.964367110839783,0.9640757949305478
S0-SM_container_13,container,elhigh-radfar-az270,elmid-radmid-az090,elhigh-radfar-az270 + elmid-radmid-az090,0.9512390255839024,0.9512390255839024,0.9779847054805776,0.9714056895863683,0.9512390255839024,0.9512390255839024,0.9512390255839024,0.9785975594385091,0.9720144208050511,0.9784800126989104,0.9785220557771603
S0-SM_container_13,container,elhigh-radfar-az270,elmid-radmid-az270,elhigh-radfar-az270 + elmid-radmid-az270,0.9396982987161911,0.9396982987161911,0.9750564322475559,0.9697979297997883,0.9396982987161911,0.9396982987161911,0.9396982987161911,0.9753547136553631,0.970094602568894,0.9752432953923346,0.975269075450048
S0-SM_container_13,container,elhigh-radfar-az270,elmid-radnear-az180,elhigh-radfar-az270 + elmid-radnear-az180,0.955811884717562,0.955811884717562,0.9829347757602731,0.9738767598179034,0.955811884717562,0.955811884717562,0.955811884717562,0.9834749394790071,0.9744119457785028,0.9832480861189373,0.9833332462179472
S0-SM_container_13,container,elhigh-radmid-az315,elhigh-radnear-az090,elhigh-radmid-az315 + elhigh-radnear-az090,0.9396956933518296,0.9396956933518296,0.9651872410067116,0.9612424544193382,0.9243960410761644,0.9396956933518296,0.9243960410761644,0.965386653191113,0.9614410515924372,0.9651708839807317,0.9652816914817456
S0-SM_container_13,container,elhigh-radmid-az315,elhigh-radnear-az135,elhigh-radmid-az315 + elhigh-radnear-az135,0.9525636552102412,0.9525636552102412,0.9813042770866266,0.9733146557258773,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9816609408202851,0.9736684155608659,0.9815064024858878,0.9815858761745662
S0-SM_container_13,container,elhigh-radmid-az315,ellow-radfar-az045,elhigh-radmid-az315 + ellow-radfar-az045,0.9396956933518296,0.9396956933518296,0.9651657420486677,0.9638072648975701,0.9396956933518296,0.9396956933518296,0.9396956933518296,0.96461100064027,0.9632533042913655,0.9649549950250892,0.9647743042315331
S0-SM_container_13,container,elhigh-radmid-az315,ellow-radnear-az000,elhigh-radmid-az315 + ellow-radnear-az000,0.9549362562438546,0.9549362562438546,0.9717597399499281,0.9687048499796692,0.9396956933518296,0.9396956933518296,0.9396956933518296,0.9711037690796717,0.9680509412640276,0.9690306637284194,0.9701042117115213
S0-SM_container_13,container,elhigh-radmid-az315,ellow-radnear-az135,elhigh-radmid-az315 + ellow-radnear-az135,0.9396956933518296,0.9396956933518296,0.9655300682742265,0.9584104716253598,0.9396956933518296,0.9396956933518296,0.9306190336194752,0.9653520453738689,0.9582337614249236,0.9657201359090606,0.9655280633313079
