group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_clean_reverse_cycle,8,10,2,ellow-radmid-az180 + elmid-radnear-az270,6,elhigh-radnear-az315,42,3,ellow-radmid-az180 + elmid-radnear-az270 + elhigh-radnear-az315,0.33672999957539607,0.45768308455215095,0.12095308497675489,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,12,2,ellow-radfar-az135 + elmid-radnear-az270,1,ellow-radnear-az225,13,3,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270,0.4167162859145316,0.5610282009093135,0.1443119149947819,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,12,2,ellow-radfar-az135 + elmid-radnear-az270,7,elhigh-radmid-az000,76,3,ellow-radfar-az135 + elmid-radnear-az270 + elhigh-radmid-az000,0.4167162859145316,0.5570077411211908,0.1402914552066592,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,12,2,ellow-radfar-az135 + elmid-radnear-az270,8,elhigh-radfar-az045,140,3,ellow-radfar-az135 + elmid-radnear-az270 + elhigh-radfar-az045,0.4167162859145316,0.5345341886606644,0.1178179027461328,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,12,2,ellow-radfar-az135 + elmid-radnear-az270,5,elmid-radfar-az090,28,3,ellow-radfar-az135 + elmid-radnear-az270 + elmid-radfar-az090,0.4167162859145316,0.5316172863171232,0.11490100040259166,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,12,2,ellow-radfar-az135 + elmid-radnear-az270,6,elhigh-radnear-az315,44,3,ellow-radfar-az135 + elmid-radnear-az270 + elhigh-radnear-az315,0.4167162859145316,0.5311306712859444,0.1144143853714128,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,12,2,ellow-radfar-az135 + elmid-radnear-az270,2,ellow-radmid-az180,14,3,ellow-radmid-az180 + ellow-radfar-az135 + elmid-radnear-az270,0.4167162859145316,0.48498065754343334,0.06826437162890175,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,17,2,ellow-radnear-az225 + elmid-radfar-az090,4,elmid-radnear-az270,25,3,ellow-radnear-az225 + elmid-radnear-az270 + elmid-radfar-az090,0.3877037467509495,0.571670871163217,0.18396712441226754,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,17,2,ellow-radnear-az225 + elmid-radfar-az090,7,elhigh-radmid-az000,81,3,ellow-radnear-az225 + elmid-radfar-az090 + elhigh-radmid-az000,0.3877037467509495,0.5624345239952272,0.1747307772442777,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,17,2,ellow-radnear-az225 + elmid-radfar-az090,8,elhigh-radfar-az045,145,3,ellow-radnear-az225 + elmid-radfar-az090 + elhigh-radfar-az045,0.3877037467509495,0.5360229072795686,0.1483191605286191,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,17,2,ellow-radnear-az225 + elmid-radfar-az090,6,elhigh-radnear-az315,49,3,ellow-radnear-az225 + elmid-radfar-az090 + elhigh-radnear-az315,0.3877037467509495,0.5128347611767547,0.12513101442580526,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,17,2,ellow-radnear-az225 + elmid-radfar-az090,3,ellow-radfar-az135,21,3,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radfar-az090,0.3877037467509495,0.5109172280839029,0.12321348133295346,5
