scene_key,target_class,view_count,scene_mean_distractor_count,scene_median_distractor_count,scene_max_distractor_count,scene_mean_target_visible_rate,scene_mean_target_detected_rate,scene_detected_given_visible,scene_mean_target_ap50_95,scene_mean_target_strict_quality_iou50,scene_mean_target_match_confidence_iou50,scene_clutter_group
S0-SM_whitevann10,whitevan,8,4.125,4.5,6,0.875,0.875,1.0,0.840234375,0.8248986639170335,0.8459911420941353,Q2 mid-low clutter
S0-SM_whitevann11,whitevan,10,4.9,3.5,17,1.0,1.0,1.0,0.923761487861826,0.9307541124488192,0.9593173861503601,Q2 mid-low clutter
S0-SM_whitevann12,whitevan,4,3.75,2.5,10,1.0,1.0,1.0,0.9729456032453864,0.9508396943761932,0.9681132137775421,Q1 low clutter
S0-SM_whitevann13,whitevan,15,3.6666666666666665,3.0,11,1.0,1.0,1.0,0.9668154762933651,0.9466075371536495,0.968990933895111,Q1 low clutter
S0-SM_whitevann14,whitevan,9,3.2222222222222223,3.0,5,0.8888888888888888,0.8888888888888888,1.0,0.8645943578877987,0.8401493931138542,0.8592362403869629,Q1 low clutter
S0-SM_whitevann15,whitevan,13,3.769230769230769,2.0,17,1.0,1.0,1.0,0.9122794568108824,0.9436863051751719,0.9681166135347806,Q1 low clutter
S0-SM_whitevann16,whitevan,10,6.0,3.0,19,0.9,0.8,0.8888888888888888,0.6319135485787124,0.7426736576483748,0.7688137173652649,Q3 mid-high clutter
S0-SM_whitevann17,whitevan,6,4.0,2.5,9,1.0,1.0,1.0,0.900164141630133,0.9361239714834557,0.9622350533803304,Q1 low clutter
S0-SM_whitevann18,whitevan,13,4.3076923076923075,3.0,17,1.0,1.0,1.0,0.976923077324262,0.9373872282444912,0.9643676464374249,Q2 mid-low clutter
S0-SM_whitevann19,whitevan,11,7.2727272727272725,5.0,22,1.0,1.0,1.0,0.858884301081546,0.9413792470461534,0.9655313708565452,Q3 mid-high clutter
S0-SM_whitevann1_58,whitevan,11,6.909090909090909,6.0,15,1.0,1.0,1.0,0.8699242438782345,0.9314435754770529,0.9620227055116133,Q3 mid-high clutter
S0-SM_whitevann2,whitevan,9,2.7777777777777777,1.0,14,1.0,1.0,1.0,0.9337742516025244,0.914140907068905,0.9571840829319425,Q1 low clutter
S0-SM_whitevann3,whitevan,7,3.857142857142857,4.0,5,1.0,1.0,1.0,0.9857142857142858,0.9333946460425163,0.9634087681770325,Q1 low clutter
S0-SM_whitevann4,whitevan,10,0.8,0.0,6,1.0,1.0,1.0,0.9359444444673135,0.936058880615844,0.9664806306362153,Q1 low clutter
S0-SM_whitevann5,whitevan,5,5.4,4.0,14,1.0,1.0,1.0,0.8714285735573087,0.9406922340889168,0.9647782921791077,Q3 mid-high clutter
S0-SM_whitevann6,whitevan,14,5.357142857142857,5.5,17,0.9285714285714286,0.9285714285714286,1.0,0.8478458067913309,0.8708060610257016,0.8917505187647683,Q3 mid-high clutter
S0-SM_whitevann7,whitevan,11,2.0,0.0,9,1.0,1.0,1.0,0.911093074540523,0.9346648130219202,0.9605673768303611,Q1 low clutter
S0-SM_whitevann8,whitevan,6,4.0,2.5,11,1.0,1.0,1.0,0.8159895849766002,0.9378775733327961,0.9615979492664337,Q1 low clutter
S0-SM_whitevann9,whitevan,9,4.555555555555555,3.0,13,1.0,1.0,1.0,0.9513888890130653,0.9371881274494744,0.963513559765286,Q2 mid-low clutter
