drone_count,relationship_axis,relationship_type,metric,scene_count,total_combo_count,mean_scene_value,ci95_low,ci95_high,scene_sd
3,mixed_diversity,distance+elevation,precision,137,481,0.6305386650691694,0.59428441623095,0.6693619721818271,0.2241990820487965
3,mixed_diversity,distance+elevation+azimuth,precision,205,33303,0.6267065371121301,0.6020234582702936,0.6522869829456943,0.1923148462023256
3,mixed_diversity,distance_only,precision,17,17,0.6155628215458997,0.4704084795140395,0.7682239819004524,0.31115058882518204
3,mixed_diversity,elevation_only,precision,14,14,0.5762671374466092,0.4442938842203549,0.7107497457857601,0.26358328026738354
3,azimuth,compact_azimuths,recall,202,12255,0.9623167768715061,0.9534552783482889,0.9695223270740273,0.05765603897540038
3,azimuth,broad_or_opposite_azimuths,recall,194,13776,0.9606982228048152,0.9520909484849084,0.9683742181592795,0.058893073010998755
3,azimuth,medium_spread_azimuths,recall,204,15615,0.9605585003633189,0.952511008092768,0.9678453048690351,0.0568439088121972
3,distance,same_radius,recall,197,4167,0.9646105615085941,0.9564274784805604,0.9724343834987255,0.05725164984672854
3,distance,adjacent_radius,recall,200,18852,0.9626161574275746,0.9551129797929956,0.9695726551339532,0.05330973083675322
3,distance,near_far,recall,194,18627,0.961759832489919,0.9540446306320965,0.9692723743522652,0.05305365735002935
3,elevation,same_elevation,recall,197,4000,0.9656378077173555,0.9562796775028912,0.9737621811098447,0.0627011251069697
3,elevation,adjacent_elevation,recall,201,18567,0.9652139817702863,0.9581939861414456,0.9716622473755407,0.048895897911387196
3,elevation,low_high,recall,198,19079,0.9553429493693899,0.9457754558945435,0.9641296657579362,0.06507233860741574
3,mixed_diversity,distance_only,recall,17,17,0.9743211800849373,0.9499848931508089,0.9962078984819736,0.05147511762148493
3,mixed_diversity,azimuth_only,recall,118,305,0.9712033957135914,0.9593120395975769,0.9822091577203956,0.06547865759197996
3,mixed_diversity,elevation_only,recall,14,14,0.9696969696969697,0.9387445887445889,0.9935064935064936,0.05184513615049725
3,mixed_diversity,distance+elevation,recall,137,481,0.968598367667386,0.9575745367197999,0.9789188666629103,0.06592472282354851
3,mixed_diversity,distance+azimuth,recall,197,3678,0.9652812707553299,0.9563893919022081,0.9738853137555034,0.06290909418580204
3,mixed_diversity,elevation+azimuth,recall,197,3848,0.9641424739178002,0.956187186909053,0.9716666681442205,0.057426064824611475
3,mixed_diversity,distance+elevation+azimuth,recall,205,33303,0.9615669209648905,0.9542972505345201,0.9684149309240204,0.05232724321337424
3,azimuth,compact_azimuths,strict_quality,202,12255,0.9191510962253856,0.9090446567027892,0.928504139401755,0.07059438537573678
3,azimuth,broad_or_opposite_azimuths,strict_quality,194,13776,0.9187520775005543,0.9086558883918143,0.9284812142473553,0.07197073827582602
3,azimuth,medium_spread_azimuths,strict_quality,204,15615,0.9183475953366754,0.9081839946288213,0.9279081880537646,0.07176798743000116
