drone_count,relationship_axis,metric,left_relationship_type,right_relationship_type,comparison,common_scene_count,mean_difference,ci95_low,ci95_high,approx_two_sided_p,left_mean_on_common_scenes,right_mean_on_common_scenes
3,elevation,F1,adjacent_elevation,low_high,adjacent_elevation minus low_high,194,0.0445833735896466,0.029220526544042075,0.05959016664405535,0.0,0.7440954431988078,0.6995120696091611
3,elevation,F1,adjacent_elevation,same_elevation,adjacent_elevation minus same_elevation,193,-0.002879346578254885,-0.014622752791870692,0.008718406223658612,0.637,0.745459116516864,0.7483384630951189
3,mixed_diversity,F1,azimuth_only,distance+elevation+azimuth,azimuth_only minus distance+elevation+azimuth,118,0.055965510895470236,0.029450052841491565,0.08163075983725793,0.0,0.7898708078320829,0.7339052969366126
3,mixed_diversity,F1,distance+azimuth,distance_only,distance+azimuth minus distance_only,17,0.054704738919767515,-0.024899684613110273,0.1312099561026294,0.176,0.7660711742913932,0.7113664353716257
3,mixed_diversity,F1,azimuth_only,distance+elevation,azimuth_only minus distance+elevation,99,0.051868773000692675,0.012533421754955124,0.09268074029216634,0.013,0.7925676392420125,0.7406988662413198
3,mixed_diversity,F1,azimuth_only,distance_only,azimuth_only minus distance_only,16,0.050984010883426745,-0.03516985487200747,0.14343777008188116,0.246,0.7700461425834261,0.7190621316999993
3,mixed_diversity,F1,distance+elevation,distance_only,distance+elevation minus distance_only,15,0.04835007824621571,-0.06078601925333283,0.17329912692079139,0.414,0.748683018726215,0.7003329404799993
3,mixed_diversity,F1,azimuth_only,elevation+azimuth,azimuth_only minus elevation+azimuth,118,0.04287147959715289,0.01979420377871691,0.06613415129226756,0.0,0.7898708078320829,0.7469993282349299
3,mixed_diversity,F1,distance+elevation+azimuth,distance_only,distance+elevation+azimuth minus distance_only,17,0.039719810279303894,-0.05193616466016381,0.1354556193877397,0.414,0.7510862456509295,0.7113664353716257
3,mixed_diversity,F1,azimuth_only,distance+azimuth,azimuth_only minus distance+azimuth,118,0.03523764072349188,0.011654891600271644,0.057845701184174286,0.004,0.7898708078320829,0.754633167108591
