model,object,target_class,view_id,filename,n_views_in_game,predecessor_coalition_size,predecessor_coalition_count,shapley_weight_per_coalition,shapley_total_weight_for_size,mean_marginal_detection,mean_marginal_strict_quality,mean_marginal_noisy_or_best_iou
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,1,9,0.011111111111111112,0.1,0.6666666666666666,0.2983482610809572,0.3318889245913395
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,2,36,0.002777777777777778,0.1,0.4166666666666667,0.19208763258622133,0.2438667332623567
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,3,84,0.0011904761904761906,0.1,0.23809523809523808,0.11458147811551767,0.17227703220190688
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,4,126,0.0007936507936507937,0.1,0.11904761904761904,0.061305002922489596,0.11557526925276365
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,5,126,0.0007936507936507937,0.1,0.047619047619047616,0.027733412260780445,0.07221689225770062
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,6,84,0.0011904761904761906,0.1,0.011904761904761904,0.009341911384033567,0.04065734905949124
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,7,36,0.002777777777777778,0.1,0.0,0.001605705545892304,0.019352087500909127
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,8,9,0.011111111111111112,0.1,0.0,0.0,0.0067565554247278
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,9,1,0.1,0.1,0.0,0.0,0.001326200673720801
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,0,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,1,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,2,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,3,84,0.0011904761904761906,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,4,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,5,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,6,84,0.0011904761904761906,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,7,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,8,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,5,2026-07-12 21.01.30.jpg,10,9,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,0,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,1,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,2,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,3,84,0.0011904761904761906,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,4,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,5,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,6,2026-07-12 21.01.33.jpg,10,6,84,0.0011904761904761906,0.1,0.0,0.0,0.0
