model,object,target_class,n_views_in_game,coalition_size,coalition_view_ids,coalition_filenames,detection,best_strict_quality,noisy_or_best_iou,best_matched_confidence,best_matched_iou,noisy_or_confidence
synthetic_m4,ooij_tower,tower,7,3,1|3|4,2026-06-29 17.37.15.jpg|2026-06-29 17.36.06.jpg|2026-06-29 17.36.07.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|3|5,2026-06-29 17.37.15.jpg|2026-06-29 17.36.06.jpg|2026-06-29 17.36.40.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|3|6,2026-06-29 17.37.15.jpg|2026-06-29 17.36.06.jpg|2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|3|7,2026-06-29 17.37.15.jpg|2026-06-29 17.36.06.jpg|2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|3|8,2026-06-29 17.37.15.jpg|2026-06-29 17.36.06.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|4|5,2026-06-29 17.37.15.jpg|2026-06-29 17.36.07.jpg|2026-06-29 17.36.40.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|4|6,2026-06-29 17.37.15.jpg|2026-06-29 17.36.07.jpg|2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|4|7,2026-06-29 17.37.15.jpg|2026-06-29 17.36.07.jpg|2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|4|8,2026-06-29 17.37.15.jpg|2026-06-29 17.36.07.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,3,1|5|6,2026-06-29 17.37.15.jpg|2026-06-29 17.36.40.jpg|2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
