viewpoint,original_count,original_mean_ap50_95,original_median_ap50_95,original_std_ap50_95,single_id,number_of_train_images,number_of_val_images,number_of_test_images,trained_precision,trained_recall,trained_f1,trained_map50,trained_map50_95,elevation,radius,azimuth,grid_row_label,original_rank,original_pct,trained_rank,trained_pct,original_z,trained_z,pct_delta,z_delta,rank_delta,abs_rank_delta
ellow-radnear-az135,32,0.6665372400222984,0.7133823650238998,0.23509053435199925,sv0004,148,25,2214,0.48202556848274736,0.6037675364893522,0.5360715382608479,0.48202556848274736,0.2839740856928261,ellow,radnear,135,low | near,56,0.22535211267605637,65,0.09859154929577463,-1.003667880944936,-1.3966403844929807,-0.12676056338028174,-0.3929725035480447,-9,9
ellow-radnear-az180,39,0.6542227315662489,0.6394981599015734,0.23672592130317222,sv0005,135,31,2214,0.49190736317453637,0.6110546879068814,0.5450455888106074,0.49190736317453637,0.29540226925164786,ellow,radnear,180,low | near,58,0.19718309859154926,60,0.16901408450704225,-1.1086938570285862,-1.103288076568237,-0.028169014084507005,0.005405780460349341,-2,2
ellow-radnear-az225,36,0.6858640669461302,0.7348844264932092,0.26472458248121483,sv0006,139,30,2214,0.4923860272818094,0.6121135634174217,0.5457605747877368,0.4923860272818094,0.29327532500466835,ellow,radnear,225,low | near,53,0.2676056338028169,61,0.15492957746478875,-0.8388363840549362,-1.1578850298344499,-0.11267605633802813,-0.31904864577951364,-8,8
ellow-radnear-az270,30,0.6253131549739732,0.6605635179448222,0.28619166211647734,sv0007,150,25,2214,0.44188373997801716,0.5753165294587242,0.49984851036102484,0.44188373997801716,0.2678192772347479,ellow,radnear,270,low | near,64,0.11267605633802813,72,0.0,-1.3552531501262517,-1.8113213633963345,-0.11267605633802813,-0.45606821327008285,-8,8
ellow-radnear-az315,29,0.7033378868349446,0.7642307791801599,0.22937702511146146,sv0008,140,36,2214,0.48673059608234576,0.6068218056917455,0.5401821416530977,0.48673059608234576,0.27834927940285153,ellow,radnear,315,low | near,51,0.295774647887324,68,0.05633802816901412,-0.6898085120710505,-1.5410246515377586,-0.23943661971830987,-0.851216139466708,-17,17
elmid-radfar-az000,27,0.7504595355638922,0.7965394975102437,0.1980185723990113,sv0041,149,29,2214,0.5998108449956401,0.6942787334890733,0.6435967350640449,0.5998108449956401,0.3883653697649618,elmid,radfar,000,mid | far,47,0.352112676056338,14,0.8169014084507042,-0.2879250613355555,1.2830001683706842,0.46478873239436624,1.5709252297062397,33,33
elmid-radfar-az045,30,0.808685548858595,0.859169644713668,0.14843921188150602,sv0042,139,36,2214,0.5915211157957722,0.6785313955231282,0.6320457533925121,0.5915211157957722,0.3904277067982496,elmid,radfar,045,mid | far,43,0.4084507042253521,12,0.8450704225352113,0.20866348716892189,1.3359387062686554,0.43661971830985913,1.1272752190997335,31,31
elmid-radfar-az090,29,0.7933643483756524,0.8788461544550955,0.21012997946715917,sv0043,139,37,2214,0.6155029024735773,0.6993162760839186,0.6547382403546876,0.6155029024735773,0.4031096513417022,elmid,radfar,090,mid | far,44,0.3943661971830986,4,0.9577464788732395,0.07799452533115941,1.661474053303192,0.5633802816901409,1.5834795279720326,40,40
elmid-radfar-az135,31,0.7635034523323394,0.813153385828959,0.18082299465170956,sv0044,146,28,2214,0.6133920323333915,0.7008273815799335,0.6542011590319667,0.6133920323333915,0.3906639225147944,elmid,radfar,135,mid | far,45,0.3802816901408451,11,0.8591549295774648,-0.17667822631575691,1.3420021742957355,0.47887323943661964,1.5186804006114925,34,34
elmid-radfar-az180,26,0.8091260092587459,0.8278382809261228,0.1276309449774232,sv0045,151,28,2214,0.6080202398200694,0.6967271260406008,0.6493581904799053,0.6080202398200694,0.39775345373611054,elmid,radfar,180,mid | far,42,0.4225352112676056,7,0.9154929577464789,0.21242001416446893,1.5239847557946304,0.49295774647887325,1.3115647416301615,35,35
elmid-radfar-az225,36,0.7514466691274477,0.8309136382261266,0.21212572541114452,sv0046,133,36,2214,0.616291444075479,0.6963227210874797,0.6538672927825567,0.616291444075479,0.40094783670068784,elmid,radfar,225,mid | far,46,0.3661971830985915,6,0.9295774647887324,-0.27950615721060695,1.6059820049839715,0.5633802816901409,1.8854881621945785,40,40
elmid-radfar-az270,26,0.8174592987426009,0.8610933348446987,0.1511773471307859,sv0047,145,34,2214,0.6153048658673174,0.7065319978193682,0.6577703922354197,0.6153048658673174,0.39259913412484276,elmid,radfar,270,mid | far,41,0.43661971830985913,9,0.8873239436619719,0.28349161764365954,1.391677504518465,0.45070422535211274,1.1081858868748056,32,32
elmid-radfar-az315,26,0.7432445041308795,0.7619068858698518,0.16311562186205944,sv0048,148,31,2214,0.5970454269304335,0.6830327681529225,0.6371510619205294,0.5970454269304335,0.38032179073567957,elmid,radfar,315,mid | far,48,0.3380281690140845,16,0.7887323943661972,-0.34945944749728036,1.0765279446730203,0.45070422535211274,1.4259873921703006,32,32
elmid-radmid-az000,42,0.8439733584273623,0.8777199913578051,0.14544019838344388,sv0033,138,25,2214,0.6126347178060687,0.6927449468874896,0.65023167822616,0.6126347178060687,0.40109184962731287,elmid,radmid,000,mid | mid,37,0.49295774647887325,5,0.9436619718309859,0.509620415903914,1.6096787013293707,0.45070422535211263,1.1000582854254568,32,32
elmid-radmid-az045,35,0.873500786560052,0.9120000057220459,0.14001275574399746,sv0034,135,35,2214,0.6215519989811171,0.6940126705041647,0.6557867852119496,0.6215519989811171,0.41641372706811924,elmid,radmid,045,mid | mid,26,0.647887323943662,1,1.0,0.7614491406917169,2.0029790089299624,0.352112676056338,1.2415298682382456,25,25
elmid-radmid-az090,29,0.877938314786923,0.9244444489810203,0.1340298899430736,sv0035,140,36,2214,0.5852697147407687,0.6546712512799806,0.6180282239004667,0.5852697147407687,0.39457841386323705,elmid,radmid,090,mid | mid,19,0.7464788732394366,8,0.9014084507042254,0.7992952094235076,1.4424840282584908,0.15492957746478875,0.6431888188349831,11,11
elmid-radmid-az135,20,0.8909244321778956,0.9263206869008995,0.12028978277595115,sv0036,147,38,2214,0.5875343072824458,0.6704841067341737,0.6262744818435512,0.5875343072824458,0.3855787851950759,elmid,radmid,135,mid | mid,10,0.8732394366197183,15,0.8028169014084507,0.910049094516969,1.2114707769677526,-0.07042253521126751,0.3014216824507836,-5,5
