factor,factor_value,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent
full_viewpoint,elmid-radnear-az270,43,43,10,0.4197247706422018,0.973404255319149,0.5865384615384616,0.39768339768339767,0.9903846153846154,0.5674931129476584,0.6214906649869204,0.9770764119601328,0.7236552869414157,0.9666890213701838,0.8759402164268648,0.8126088477006469,0.9953488372093022,0.8618270378171655,0.9837807793079444,0.9136514213008092,0.9142447979608065,0.9512969338616659,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radmid-az000,43,43,10,0.6,0.9848024316109423,0.7456846950517837,0.6016260162601627,1.0,0.751269035532995,0.7579041312410474,0.9888363574410086,0.8331207651819413,0.9899767996826349,0.8922510783207428,0.8983274417960216,1.0,0.9286569184089825,1.0,0.9127047946512323,0.8829026711182688,0.9319229292315107,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radmid-az315,29,29,9,0.44547563805104406,0.964824120603015,0.6095238095238096,0.5408805031446541,0.9885057471264368,0.6991869918699187,0.5963009119195731,0.975744514106583,0.7090650062532006,0.9768346404540355,0.8660995809977471,0.8054316062936752,0.9961685823754789,0.8648357770743946,0.9947914778171949,0.9118625298779983,0.8978907647064809,0.9468228611452826,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radnear-az090,31,31,10,0.479020979020979,1.0,0.6477541371158393,0.4927536231884058,1.0,0.6601941747572816,0.7489797073328482,1.0,0.8191062615935282,0.9958627348317071,0.8903642872405094,0.9108238011660513,1.0,0.9303897576828284,0.9980042360482677,0.910072295777202,0.8862058950874298,0.9342678881460621,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radnear-az135,43,43,10,0.28010825439783493,0.9495412844036697,0.43260188087774293,0.32857142857142857,0.9426229508196722,0.4872881355932203,0.4870238254275034,0.967926776066311,0.6068139827310421,0.9593982122848851,0.8368391173491881,0.7758446637843036,0.9801402731635289,0.8275947774296388,0.9756279254133244,0.9075941350469103,0.9233566889723123,0.9531030044999234,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radmid-az270,40,40,10,0.3718887262079063,0.8668941979522184,0.5204918032786885,0.4647887323943662,0.9801980198019802,0.6305732484076433,0.6333517271022516,0.938995044987692,0.7262975505963294,0.9466461267356727,0.8245639646403143,0.8176635924462012,0.9839285714285714,0.8514103309307913,0.9884199137472874,0.907396100282624,0.9054478044083016,0.9472495675086975,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radmid-az315,24,24,10,0.5488721804511278,0.9733333333333334,0.7019230769230769,0.6699029126213593,0.9857142857142858,0.7976878612716763,0.6964533594129182,0.9791666666666666,0.7787415252875779,0.9806987358290992,0.8939334092799411,0.9040210573476702,0.9895833333333334,0.9285561660561661,0.9915364583333334,0.9072669750233975,0.8927043491267641,0.9366868486007055,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radfar-az045,39,39,10,0.5222437137330754,0.9642857142857143,0.6775407779171895,0.5945945945945946,0.9649122807017544,0.7357859531772575,0.6997885424167476,0.9745240870240871,0.7888273181095615,0.9792407246884002,0.8688266761036584,0.8449949907642216,0.9814814814814815,0.8912023162023163,0.9854650635423844,0.9059152228516252,0.8844867578821718,0.9335005833552434,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radfar-az180,25,25,10,0.592797783933518,0.9596412556053812,0.7328767123287672,0.6194690265486725,0.9722222222222222,0.7567567567567568,0.6886906839748945,0.9621572871572872,0.787690671170518,0.9669962697888367,0.8687601812175219,0.8479523809523809,0.9830303030303029,0.8891766593127312,0.9903030316215573,0.904640827059239,0.892690462670615,0.9386737442016602,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radfar-az135,25,25,10,0.433852140077821,0.9780701754385965,0.601078167115903,0.5053763440860215,0.9791666666666666,0.6666666666666666,0.5681467551599141,0.9763136863136863,0.6816789791117805,0.9759239096372992,0.8408331973572192,0.8015370680136727,0.9863636363636364,0.8470455100455101,0.9884990155218152,0.9031716113134105,0.9000449884349474,0.9410389041900635,1.0,1.0,0,0,0.0
