viewpoint,elevation,radius,azimuth,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent,manifest_train_images,manifest_val_images,manifest_test_images,global_rank_by_target_ap50_95,global_rank_by_strict_quality
elmid-radnear-az315,mid,near,315,33,33,10,0.5205992509363296,0.9586206896551724,0.6747572815533981,0.536,1.0,0.6979166666666666,0.6952821440789355,0.9673039923039923,0.7790596476727609,0.9680542843579124,0.8872489282462817,0.8457507770007769,1.0,0.8859728803579071,1.0,0.9613336250985963,0.9382882464153973,0.9618144324331572,1.0,1.0,0,0,0.0,142,30,33,1,2
elmid-radmid-az000,mid,mid,0,42,42,10,0.40271493212669685,0.9518716577540107,0.5659777424483307,0.4430379746835443,0.9722222222222222,0.6086956521739131,0.6206652682852559,0.965863329137323,0.7130325648143111,0.9603762920511316,0.8438390137159385,0.7491582597951462,0.9767573696145125,0.8093118980834937,0.9720372314846207,0.8731641982117042,0.887476872372253,0.9354027112325033,1.0,1.0,0,0,0.0,138,25,42,40,29
elmid-radmid-az045,mid,mid,45,35,35,10,0.4375,0.9350180505415162,0.5960874568469505,0.6265060240963856,0.9811320754716981,0.7647058823529411,0.6519271096345247,0.9638581748488869,0.7429051473200234,0.9653548819246467,0.873500786560052,0.8524036281179139,0.9873015873015873,0.8909955490733523,0.988835979540039,0.9011834853674903,0.8989723176203146,0.9405283212661744,1.0,1.0,0,0,0.0,135,35,35,22,18
elmid-radmid-az090,mid,mid,90,29,29,9,0.41379310344827586,0.9473684210526315,0.576,0.5102040816326531,0.9868421052631579,0.672645739910314,0.6710074761710368,0.9808429118773946,0.7639853839001925,0.9775886627680684,0.8779319290908277,0.8127738481186758,0.9827586206896551,0.8541256157635467,0.9759504867653395,0.896036854401307,0.904437681285708,0.9468219917396019,1.0,1.0,0,0,0.0,140,36,29,25,14
elmid-radmid-az135,mid,mid,135,20,20,8,0.44673539518900346,0.9774436090225563,0.6132075471698113,0.6022727272727273,1.0,0.75177304964539,0.5961076847353601,0.9685416666666666,0.6982340221697807,0.9705951288895791,0.8909244321778956,0.8292857142857143,1.0,0.8732857142857142,1.0,0.920686990227785,0.894408380209289,0.9417726159095764,1.0,1.0,0,0,0.0,147,38,20,8,23
elmid-radmid-az180,mid,mid,180,31,31,9,0.43005181347150256,0.9613899613899614,0.594272076372315,0.6089743589743589,0.9895833333333334,0.753968253968254,0.5817943750967778,0.9725711611535041,0.6917568297360361,0.9723574559578724,0.8442402151795599,0.7946239244626341,0.9935483870967742,0.854004884004884,0.9945409432904004,0.8802653022140728,0.8778828076863948,0.9292256024576002,1.0,1.0,0,0,0.0,149,25,31,34,40
elmid-radmid-az225,mid,mid,225,22,22,9,0.3940298507462687,0.9565217391304348,0.5581395348837209,0.422360248447205,0.9855072463768116,0.591304347826087,0.5895287567040813,0.9565614124437655,0.6860016838091401,0.9564800704255337,0.864429539666255,0.7939225276887615,0.9494949494949495,0.8351763082243508,0.9461193573274297,0.8628814582432397,0.8436054753431896,0.8952814015475187,0.9545454545454546,0.9545454545454546,1,0,0.0,151,32,22,44,58
elmid-radmid-az270,mid,mid,270,40,40,10,0.3718887262079063,0.8668941979522184,0.5204918032786885,0.4647887323943662,0.9801980198019802,0.6305732484076433,0.6333517271022516,0.938995044987692,0.7262975505963294,0.9466461267356727,0.8245639646403143,0.8176635924462012,0.9839285714285714,0.8514103309307913,0.9884199137472874,0.907396100282624,0.9054478044083016,0.9472495675086975,1.0,1.0,0,0,0.0,138,27,40,17,13
elmid-radmid-az315,mid,mid,315,29,29,9,0.44547563805104406,0.964824120603015,0.6095238095238096,0.5408805031446541,0.9885057471264368,0.6991869918699187,0.5963009119195731,0.975744514106583,0.7090650062532006,0.9768346404540355,0.8660995809977471,0.8054316062936752,0.9961685823754789,0.8648357770743946,0.9947914778171949,0.9118625298779983,0.8978907647064809,0.9468228611452826,1.0,1.0,0,0,0.0,146,30,29,14,20
elmid-radfar-az000,mid,far,0,27,27,9,0.3135068153655514,0.8031746031746032,0.45098039215686275,0.5422535211267606,0.9625,0.6936936936936937,0.482733041221259,0.8923960089904363,0.6020032911085991,0.8884873357985019,0.7505587895237369,0.7816107966107966,0.9506172839506173,0.8249149231228083,0.9588847375225797,0.889695159327168,0.9085655512375765,0.9465464817153083,1.0,1.0,0,0,0.0,149,29,27,29,11
elmid-radfar-az045,mid,far,45,30,30,10,0.3772455089820359,0.9402985074626866,0.5384615384615384,0.6047904191616766,0.9901960784313726,0.7509293680297398,0.508806465100617,0.9610473834158045,0.6339359694494449,0.9554556330008671,0.8087832289384081,0.8092439431913117,0.9888888888888889,0.8627865520837715,0.9904761911148117,0.8472065076405291,0.8581700453322131,0.9189962645371755,1.0,1.0,0,0,0.0,139,36,30,50,54
elmid-radfar-az090,mid,far,90,29,29,10,0.34239802224969096,0.8549382716049383,0.4889673433362754,0.4595959595959596,0.978494623655914,0.6254295532646048,0.5836441627599115,0.9350355613981866,0.6895172749186378,0.9295992399454808,0.7933643483756522,0.8183975239271121,0.9770114942528735,0.8536122800369624,0.9833971912881043,0.8402039547341753,0.8623881413460452,0.926037399933256,1.0,1.0,0,0,0.0,139,37,29,51,49
elmid-radfar-az135,mid,far,135,31,31,9,0.3239263803680982,0.8488745980707395,0.4689165186500888,0.526829268292683,0.9557522123893806,0.6792452830188679,0.5281347099196887,0.9249491686448643,0.6454554227694274,0.9215425320290449,0.7632460394757341,0.7917231629510506,0.9771749755620723,0.8416677196702189,0.9719127725729532,0.8151140521115922,0.8436586868839523,0.9264703392982483,1.0,1.0,0,0,0.0,146,28,31,53,57
elmid-radfar-az180,mid,far,180,26,26,9,0.3717948717948718,0.9485981308411215,0.5342105263157895,0.7156862745098039,0.9864864864864865,0.8295454545454546,0.5774003052367598,0.9554277706099568,0.6825865343101589,0.9524339808430593,0.8091208187702006,0.8429271708683473,0.9871794871794872,0.887973137973138,0.9897435903931275,0.8589781461913764,0.8790350391536739,0.9313358779136951,1.0,1.0,0,0,0.0,151,28,26,45,38
elmid-radfar-az225,mid,far,225,36,36,10,0.2917665867306155,0.8093126385809313,0.4289071680376028,0.49800796812749004,0.984251968503937,0.6613756613756614,0.4499238248534311,0.8930626882943355,0.5716567357699285,0.8871107337345449,0.7512558889508586,0.7114598339190548,0.987962962962963,0.7898146664033037,0.9800628937016739,0.876669020604217,0.8979020610527405,0.9380710754129622,1.0,1.0,0,0,0.0,133,36,36,36,19
elmid-radfar-az270,mid,far,270,26,26,10,0.39398998330550916,0.9291338582677166,0.5533411488862837,0.660377358490566,0.9722222222222222,0.7865168539325843,0.5650418620236293,0.9624758629060248,0.6820394198801305,0.9529850895811189,0.8174023733763914,0.8000578368999421,0.9711538461538461,0.8557326007326007,0.9759615386048188,0.8874455977807689,0.884992142983688,0.9309246150346903,1.0,1.0,0,0,0.0,145,34,26,30,31
elmid-radfar-az315,mid,far,315,26,26,10,0.32349841938883034,0.8575418994413407,0.46977811782708495,0.3891625615763547,0.9753086419753086,0.5563380281690141,0.4806651180697629,0.9138523419899939,0.5968108356728535,0.913205097482437,0.7432562359014336,0.6871605894721997,0.9888111888111889,0.7629731600912942,0.9804467478498398,0.8540764147739766,0.8770846934049266,0.9253868414805486,1.0,1.0,0,0,0.0,148,31,26,48,43
elhigh-radnear-az000,high,near,0,34,34,9,0.4061302681992337,0.954954954954955,0.5698924731182796,0.40540540540540543,0.9813084112149533,0.5737704918032787,0.5804482700307582,0.9637000254647312,0.6843787864662217,0.9620083996090267,0.8568453434138286,0.8036110512119984,0.9899732620320855,0.8407771880682098,0.9859473182934718,0.937761748385335,0.9290929259368824,0.9580160677433014,1.0,1.0,0,0,0.0,141,30,34,3,5
elhigh-radnear-az045,high,near,45,23,23,10,0.4939271255060729,0.991869918699187,0.6594594594594595,0.381294964028777,0.9814814814814815,0.5492227979274611,0.6904727582288768,0.9951690821256038,0.7800795409986476,0.9956184700943355,0.9012838500691273,0.7596510031292639,0.9945652173913043,0.8116097865045971,0.9950793184663939,0.8968312648661896,0.8846867204114461,0.9347101216730864,1.0,1.0,0,0,0.0,152,30,23,24,32
elhigh-radnear-az090,high,near,90,28,28,9,0.5032051282051282,0.98125,0.6652542372881356,0.6037735849056604,1.0,0.7529411764705882,0.6605957155589508,0.9794642857142858,0.7584639933066706,0.9812446859335767,0.8770482319581062,0.8445887445887446,1.0,0.8874265090651645,0.9952380958057585,0.8869025083150833,0.874549699964973,0.9329765502895627,1.0,1.0,0,0,0.0,141,36,28,31,45
elhigh-radnear-az135,high,near,135,32,32,9,0.6142322097378277,0.9820359281437125,0.7557603686635944,0.6910569105691057,0.9883720930232558,0.8133971291866029,0.7516965877259995,0.9838541666666667,0.8231747246346705,0.9868749990616925,0.886847356781053,0.8208705357142857,0.9921875,0.8687996031746031,0.99365234375,0.8862360495007375,0.8773791921258101,0.9316034652292728,1.0,1.0,0,0,0.0,137,36,32,32,41
elhigh-radnear-az180,high,near,180,31,31,10,0.47341772151898737,0.9689119170984456,0.6360544217687075,0.4438202247191011,0.9875,0.6124031007751938,0.6704043451401291,0.9780326304519853,0.7544935346159947,0.9805215385576458,0.8817017428525903,0.8102476948050044,0.9919354838709677,0.8570191158900836,0.9919194829689804,0.9207228772577426,0.8977822678377404,0.9382830300638753,1.0,1.0,0,0,0.0,146,28,31,7,21
elhigh-radnear-az225,high,near,225,36,36,10,0.5634674922600619,0.978494623655914,0.7151277013752456,0.5416666666666666,0.9891304347826086,0.7,0.7436500597166588,0.9809413580246914,0.8219473502878898,0.9821107431840453,0.9081168475635226,0.8213533114395184,0.9969135802469135,0.8758287220440588,0.9973392934733094,0.931466464078558,0.9026729541798686,0.9442787882354524,1.0,1.0,0,0,0.0,131,38,36,5,15
elhigh-radnear-az270,high,near,270,30,30,10,0.6195652173913043,0.9661016949152542,0.7549668874172185,0.6486486486486487,0.96,0.7741935483870968,0.6975135811900518,0.9701058201058201,0.7940356493065471,0.9610966125779888,0.866668765555305,0.8468386243386244,0.9838095238095239,0.8915018315018315,0.9703968262152067,0.8763905435406342,0.8483381288919658,0.9018566066166386,1.0,1.0,0,0,0.0,143,32,30,38,56
elhigh-radnear-az315,high,near,315,29,29,9,0.5656934306569343,0.9748427672955975,0.7159353348729792,0.575,0.9857142857142858,0.7263157894736842,0.7126026272577997,0.9775862068965517,0.7977900879523597,0.9801553084435003,0.8856686001805449,0.8620689655172413,0.9913793103448276,0.9018628302948407,0.9929956896551724,0.8772979538609688,0.8760953887108824,0.929316808437479,1.0,1.0,0,0,0.0,140,36,29,35,44
