scene_key,file_name,image_id,target_class,viewpoint,elevation,radius,azimuth,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred,target_visible,target_detected,target_precision,target_recall,target_f1,target_ap50,target_ap50_95,target_best_iou,target_match_confidence_iou50,target_match_iou_at_confidence_iou50,target_strict_quality_iou50,target_tp,target_fp,target_fn
S0-SM_male1,S0-SM_male1-elmid-radnear-az090.png,454,male,elmid-radnear-az090,mid,near,90,0.8,1.0,0.888888888888889,1.0,0.9362500004470349,4,1,0,4,5,1,1,0.5,1.0,0.6666666666666666,1.0,0.9,0.9107412695884705,0.8750514388084412,0.9107412695884705,0.7969454583356175,1,1,0
S0-SM_male10,S0-SM_male10-elhigh-radmid-az225.png,455,male,elhigh-radmid-az225,high,mid,225,0.52,0.9285714285714286,0.6666666666666666,0.9471428375584736,0.7916709864147942,13,12,1,14,25,1,1,0.5,1.0,0.6666666666666666,1.0,0.5,0.7045082449913025,0.6681210994720459,0.7045082449913025,0.4706968232307105,1,1,0
S0-SM_male10,S0-SM_male10-elhigh-radmid-az315.png,456,male,elhigh-radmid-az315,high,mid,315,1.0,1.0,1.0,1.0,0.85,4,0,0,4,4,1,1,1.0,1.0,1.0,1.0,0.6,0.7574024796485901,0.7535237073898315,0.7574024796485901,0.570720724451057,1,0,0
S0-SM_male10,S0-SM_male10-elhigh-radnear-az090.png,457,male,elhigh-radnear-az090,high,near,90,0.35,0.875,0.4999999999999999,0.896874999627471,0.7062500002561137,7,13,1,8,20,1,1,0.5,1.0,0.6666666666666666,1.0,0.6125,0.8269311785697937,0.7969796657562256,0.8269311785697937,0.6590473342999559,2,2,0
S0-SM_male10,S0-SM_male10-elhigh-radnear-az135.png,458,male,elhigh-radnear-az135,high,near,135,0.29411764705882354,1.0,0.45454545454545453,1.0,0.7096960805749486,10,24,0,10,34,1,1,0.4,1.0,0.5714285714285715,1.0,0.5550000000745058,0.7590720653533936,0.7644181251525879,0.7590720653533936,0.5802484450531438,2,3,0
S0-SM_male10,S0-SM_male10-elhigh-radnear-az180.png,459,male,elhigh-radnear-az180,high,near,180,0.5555555555555556,1.0,0.7142857142857143,1.0,0.7872222189108531,10,8,0,10,18,1,1,0.5,1.0,0.6666666666666666,1.0,0.7125,0.8508464097976685,0.8433603048324585,0.8508464097976685,0.7175700875325646,2,2,0
S0-SM_male10,S0-SM_male10-elhigh-radnear-az315.png,460,male,elhigh-radnear-az315,high,near,315,0.5,1.0,0.6666666666666666,1.0,0.8546875,4,4,0,4,8,1,1,0.3333333333333333,1.0,0.5,1.0,0.4,0.66557377576828,0.7324123978614807,0.66557377576828,0.48747448506416546,1,2,0
S0-SM_male10,S0-SM_male10-ellow-radfar-az090.png,461,male,ellow-radfar-az090,low,far,90,0.0855614973262032,0.45714285714285713,0.14414414414414414,0.42145522172575434,0.18269933148470527,16,171,19,35,187,1,1,0.14285714285714285,0.5,0.22222222222222224,0.5357142873108387,0.3750000011175871,0.8172236084938049,0.7500960826873779,0.8172236084938049,0.6129962274108465,1,6,1
S0-SM_male10,S0-SM_male10-ellow-radmid-az090.png,462,male,ellow-radmid-az090,low,mid,90,0.07386363636363637,0.3611111111111111,0.12264150943396228,0.29030887295171603,0.13599271835598895,13,163,23,36,176,1,1,0.2222222222222222,1.0,0.3636363636363636,1.0,0.4111111111938953,0.7609229683876038,0.8294782638549805,0.7609229683876038,0.6311690627455278,2,7,0
S0-SM_male10,S0-SM_male10-ellow-radnear-az090.png,463,male,ellow-radnear-az090,low,near,90,0.06201550387596899,0.32,0.1038961038961039,0.3250852656198102,0.15557640180337864,8,121,17,25,129,1,1,0.2,1.0,0.33333333333333337,1.0,0.6625000001862645,0.9021807909011841,0.876743495464325,0.9021807909011841,0.7909811401554734,2,8,0
S0-SM_male10,S0-SM_male10-ellow-radnear-az135.png,464,male,ellow-radnear-az135,low,near,135,0.14906832298136646,0.631578947368421,0.24120603015075376,0.5972329109450367,0.3573989478974105,24,137,14,38,161,1,1,0.3333333333333333,1.0,0.5,1.0,0.6375000003725291,0.8627284169197083,0.9413662552833557,0.8627284169197083,0.8121434191622434,2,4,0
S0-SM_male10,S0-SM_male10-ellow-radnear-az315.png,465,male,ellow-radnear-az315,low,near,315,0.3333333333333333,1.0,0.5,1.0,0.816666667163372,2,4,0,2,6,1,1,1.0,1.0,1.0,1.0,0.6,0.752882182598114,0.9025306105613708,0.752882182598114,0.6794992159410533,1,0,0
S0-SM_male10,S0-SM_male10-elmid-radfar-az045.png,466,male,elmid-radfar-az045,mid,far,45,0.26666666666666666,1.0,0.4210526315789474,1.0,0.7042509935097769,8,22,0,8,30,1,1,0.2222222222222222,1.0,0.3636363636363636,1.0,0.70277777928859,0.8565744757652283,0.6926078796386719,0.8393958210945129,0.5813721598258326,2,7,0
S0-SM_male10,S0-SM_male10-elmid-radfar-az270.png,467,male,elmid-radfar-az270,mid,far,270,0.35714285714285715,1.0,0.5263157894736842,1.0,0.880571432239243,5,9,0,5,14,1,1,0.5,1.0,0.6666666666666666,1.0,0.9,0.9183331727981567,0.7695852518081665,0.9183331727981567,0.7067356660316619,1,1,0
S0-SM_male10,S0-SM_male10-elmid-radmid-az135.png,468,male,elmid-radmid-az135,mid,mid,135,0.42857142857142855,0.9375,0.588235294117647,0.9469866072759032,0.6600626813946292,15,20,1,16,35,1,1,0.6666666666666666,1.0,0.8,1.0,0.6000000007450581,0.8506051898002625,0.8041430711746216,0.7117735743522644,0.5723677880605678,2,1,0
S0-SM_male10,S0-SM_male10-elmid-radnear-az180.png,469,male,elmid-radnear-az180,mid,near,180,0.21951219512195122,0.9,0.3529411764705882,0.9109755884946846,0.7501393607993471,9,32,1,10,41,1,1,0.125,0.5,0.2,0.53125,0.425,0.8774670362472534,0.8563892841339111,0.8774670362472534,0.75145336702289,1,7,1
S0-SM_male11,S0-SM_male11-elhigh-radmid-az000.png,470,male,elhigh-radmid-az000,high,mid,0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.92916666790843,8,1,0,8,9,1,1,0.75,1.0,0.8571428571428571,1.0,0.741666667535901,0.8771412968635559,0.8223700523376465,0.8771412968635559,0.7213347342091936,3,1,0
