image,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-ellow-radmid-az045.png,0.08695652173913043,0.47058823529411764,0.14678899082568805,0.4641943772602112,0.2565590404767229,8.0,84.0,9.0,17.0,92.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-ellow-radmid-az225.png,0.30434782608695654,0.875,0.4516129032258065,0.8783967383205891,0.6724834280379582,14.0,32.0,2.0,16.0,46.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-elmid-radfar-az135.png,0.2631578947368421,1.0,0.4166666666666667,0.9428571496691021,0.64270678475051,5.0,14.0,0.0,5.0,19.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elhigh-radmid-az135.png,0.6666666666666666,1.0,0.8,1.0,0.94375,4.0,2.0,0.0,4.0,6.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elhigh-radnear-az315.png,1.0,1.0,1.0,1.0,0.93125,4.0,0.0,0.0,4.0,4.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-ellow-radfar-az225.png,0.09523809523809523,0.8,0.1702127659574468,0.6285714512424809,0.515714300475305,4.0,38.0,1.0,5.0,42.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-ellow-radfar-az270.png,0.25925925925925924,0.6666666666666666,0.37333333333333335,0.6168637218812032,0.3945650577232191,14.0,40.0,7.0,21.0,54.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-ellow-radfar-az315.png,0.2777777777777778,1.0,0.4347826086956522,1.0,0.8328282864858405,5.0,13.0,0.0,5.0,18.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-ellow-radmid-az180.png,0.09375,0.6,0.16216216216216214,0.6187500227242708,0.5107500128932296,3.0,29.0,2.0,5.0,32.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-ellow-radnear-az000.png,0.42857142857142855,1.0,0.6,1.0,0.9130952385032461,6.0,8.0,0.0,6.0,14.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elmid-radfar-az045.png,0.7142857142857143,1.0,0.8333333333333333,1.0,0.857714289222445,5.0,2.0,0.0,5.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elmid-radfar-az090.png,0.8,1.0,0.888888888888889,1.0,0.9475000008940697,4.0,1.0,0.0,4.0,5.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elmid-radfar-az225.png,0.8,1.0,0.888888888888889,1.0,0.7937500022351742,4.0,1.0,0.0,4.0,5.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elmid-radmid-az225.png,1.0,1.0,1.0,1.0,0.9375,4.0,0.0,0.0,4.0,4.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elmid-radnear-az045.png,1.0,1.0,1.0,1.0,0.984375,4.0,0.0,0.0,4.0,4.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elmid-radnear-az090.png,1.0,1.0,1.0,1.0,0.96875,4.0,0.0,0.0,4.0,4.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_2-elmid-radnear-az225.png,0.5,1.0,0.6666666666666666,1.0,0.959375,4.0,4.0,0.0,4.0,8.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-elhigh-radmid-az270.png,0.34782608695652173,1.0,0.5161290322580645,0.9502840936183929,0.6924592389725148,8.0,15.0,0.0,8.0,23.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-elhigh-radnear-az315.png,0.7777777777777778,1.0,0.8750000000000001,1.0,0.8952380972249168,7.0,2.0,0.0,7.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-ellow-radfar-az000.png,0.3023255813953488,0.7647058823529411,0.4333333333333333,0.7780294200024187,0.4432338608760576,13.0,30.0,4.0,17.0,43.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-ellow-radfar-az225.png,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-ellow-radmid-az045.png,0.2909090909090909,1.0,0.45070422535211263,0.9284989349544048,0.6219263777369634,16.0,39.0,0.0,16.0,55.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-elmid-radfar-az180.png,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.8680555389987097,0.8097222195731268,5.0,7.0,1.0,6.0,12.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-elmid-radfar-az315.png,0.4166666666666667,0.9090909090909091,0.5714285714285715,0.9115014028409627,0.7668732923545334,10.0,14.0,1.0,11.0,24.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-elmid-radmid-az000.png,0.38235294117647056,1.0,0.5531914893617021,0.9945054928680044,0.7783419621877888,13.0,21.0,0.0,13.0,34.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-elmid-radnear-az135.png,1.0,1.0,1.0,1.0,0.9670000016987323,5.0,0.0,0.0,5.0,5.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_20-elmid-radnear-az180.png,0.1875,0.75,0.3,0.7734375,0.725,3.0,13.0,1.0,4.0,16.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-elhigh-radfar-az000.png,0.6,1.0,0.7499999999999999,1.0,0.8945679054915168,9.0,6.0,0.0,9.0,15.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-elhigh-radmid-az225.png,0.8571428571428571,1.0,0.923076923076923,1.0,0.8300330737538676,12.0,2.0,0.0,12.0,14.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-elhigh-radnear-az270.png,0.8888888888888888,1.0,0.9411764705882353,1.0,0.7623611140996218,8.0,1.0,0.0,8.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-ellow-radfar-az000.png,0.3333333333333333,1.0,0.5,1.0,0.9074074101668816,3.0,6.0,0.0,3.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-ellow-radfar-az180.png,0.4642857142857143,1.0,0.6341463414634146,1.0,0.7699873269389644,13.0,15.0,0.0,13.0,28.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-ellow-radnear-az045.png,0.08823529411764706,0.46153846153846156,0.14814814814814817,0.4743051107493653,0.4151260554325137,6.0,62.0,7.0,13.0,68.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-ellow-radnear-az270.png,0.2727272727272727,1.0,0.42857142857142855,1.0,0.8151515237761267,3.0,8.0,0.0,3.0,11.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-elmid-radfar-az090.png,0.6129032258064516,1.0,0.76,1.0,0.8468767843338159,19.0,12.0,0.0,19.0,31.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-elmid-radmid-az000.png,0.4666666666666667,1.0,0.6363636363636364,1.0,0.8692517065667374,7.0,8.0,0.0,7.0,15.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_21-elmid-radmid-az045.png,0.8181818181818182,1.0,0.9,1.0,0.8279040440841756,9.0,2.0,0.0,9.0,11.0
